"","year","total_population","Population_change","Percent.population.change","Natural.increase","Net.migration"
"1",2005,4153500,46600,1.13,31000,7000
"2",2006,4202300,48200,1.16,31600,14600
"3",2007,4240000,36600,0.87,35800,5500
"4",2008,4274900,34500,0.81,35400,3800
"5",2009,4324700,51900,1.21,35300,21300
"6",2010,4368300,41700,0.96,36000,10500
"7",2011,4395700,25600,0.58,32100,-1900
"8",2012,4420700,26400,0.6,32300,-1200
"9",2013,4467600,51500,1.16,29800,18200
"10",2014,4552300,87000,1.94,27800,47400
"11",2015,4650000,99400,2.18,27800,59800
"12",2016,4754400,103900,2.23,29300,62900
"13",2017,4847900,91900,1.93,27200,53300
"14",2018,4931300,81800,1.68,26500,49600
"15",2019,5023700,99200,2.01,26600,72600
"16",2020,5102900,66000,1.31,26500,39600
